date,amount,category,description
2025-10-02,8.50,Food,Coffee and croissant
2025-10-04,22.10,Food,Grocery store snacks
2025-10-07,15.00,Travel,Bus pass top-up
2025-10-10,59.99,Shopping,Headphones for study
2025-10-12,45.00,Bills,Mobile data plan
2025-10-14,12.75,Food,Lunch at campus cafe
2025-10-18,18.30,Entertainment,Movie ticket and popcorn
2025-10-20,34.40,Food,Grocery store vegetables
2025-11-01,650.00,Rent,Shared apartment rent
2025-11-03,9.90,Food,Coffee
2025-11-05,28.60,Food,Grocery store pasta and sauce
2025-11-07,16.00,Travel,Rideshare to library
2025-11-09,42.00,Bills,Electricity share
2025-11-12,25.00,Health,Pharmacy purchase
2025-11-15,13.20,Food,Takeout noodles
2025-11-18,20.00,Shopping,Notebook and pens
2025-11-22,30.00,Entertainment,Concert ticket share
2025-11-28,14.60,Food,Lunch sandwich
2025-12-01,650.00,Rent,Shared apartment rent
2025-12-02,10.50,Food,Coffee and bagel
2025-12-06,40.25,Food,Grocery store meat and rice
2025-12-08,12.00,Travel,Metro card reload
2025-12-10,55.00,Bills,Internet share
2025-12-12,19.99,Shopping,Phone case
2025-12-15,16.80,Food,Lunch burrito
2025-12-18,11.50,Food,Campus cafe snack
2025-12-22,27.00,Health,Gym membership student rate
2025-12-27,23.40,Entertainment,Streaming subscription + snacks
2026-01-01,650.00,Rent,Shared apartment rent
2026-01-03,9.00,Food,Coffee
2026-01-05,32.10,Food,Grocery store cereal and milk
2026-01-07,18.50,Travel,Gas share with friend
2026-01-09,39.00,Bills,Water bill share
2026-01-12,14.20,Food,Lunch salad
2026-01-15,60.00,Shopping,Used textbook
2026-01-18,26.00,Entertainment,Bowling night
2026-01-23,21.75,Food,Grocery store fruit
2026-02-01,650.00,Rent,Shared apartment rent
2026-02-02,11.20,Food,Coffee and muffin
2026-02-05,44.80,Food,Grocery store chicken and veggies
2026-02-07,17.25,Travel,Train ticket
2026-02-10,48.00,Bills,Electricity share
2026-02-14,20.00,Health,Clinic co-pay
2026-02-16,13.99,Entertainment,Streaming subscription
2026-02-19,15.60,Food,Lunch wrap
2026-02-23,29.50,Shopping,USB-C hub